dataset,model,operating_point,threshold,rows,predicted_positive_rate,accuracy,precision,sensitivity,specificity,f1,tp,tn,fp,fn,predicted_positive,predicted_negative
cardio_clean,hist_gradient_boosting,default_threshold_0_50,0.5,17152,0.45003498134328357,0.7355410447761194,0.75579738308071,0.6875662934590454,0.7825083650628822,0.7200691187361146,5834,6782,1885,2651,7719,9433
cardio_clean,hist_gradient_boosting,max_f1,0.35,17152,0.6232509328358209,0.7060984141791045,0.6610851262862488,0.8328815556865056,0.581977616245529,0.7371056062581486,7067,5044,3623,1418,10690,6462
cardio_clean,hist_gradient_boosting,max_accuracy,0.5,17152,0.45003498134328357,0.7355410447761194,0.75579738308071,0.6875662934590454,0.7825083650628822,0.7200691187361146,5834,6782,1885,2651,7719,9433
cardio_clean,hist_gradient_boosting,sensitivity_at_least_0_80_lowest_fp,0.35,17152,0.6232509328358209,0.7060984141791045,0.6610851262862488,0.8328815556865056,0.581977616245529,0.7371056062581486,7067,5044,3623,1418,10690,6462
cardio_clean,hist_gradient_boosting,specificity_at_least_0_80_lowest_fn,0.55,17152,0.40934001865671643,0.734258395522388,0.7796610169491526,0.6451384796700059,0.8215068651205722,0.7060492712498387,5474,7120,1547,3011,7021,10131
