subset,rows,positive,negative,target_rate,rows_removed_vs_raw,removed_fraction_vs_raw
raw,70000,34979,35021,0.4997,0,0.0
plausible_body,69937,34946,34991,0.4996782818822655,63,0.0009
plausible_bp,68664,33970,34694,0.4947279506000233,1336,0.019085714285714286
plausible_body_and_bp,68605,33939,34666,0.494701552364988,1395,0.019928571428571427
