dataset,model,split,rows,positive_rate,auroc,auprc,accuracy,f1,brier,log_loss,sensitivity,specificity,tp,tn,fp,fn,cleaning_profile
cardio,logistic_l2,test,17500,0.4997142857142857,0.7776444727002361,0.7564503007065283,0.7126285714285714,0.7006725790131539,0.194762561026804,0.5800136254349917,0.6730703259005146,0.75214163335237,5886,6585,2170,2859,raw
cardio,hist_gradient_boosting,test,17500,0.4997142857142857,0.8004005095185337,0.7845082639250605,0.7342285714285715,0.722245446401911,0.18079058078654228,0.5416039506601592,0.6914808461978273,0.776927470017133,6047,6802,1953,2698,raw
cardio,logistic_l2,test,17161,0.494726414544607,0.7916812115823034,0.7724475058619478,0.7259483713070334,0.706886880648177,0.1865868997714345,0.5583926399624088,0.667962308598351,0.7827240226040826,5671,6787,1884,2819,lenient
cardio,hist_gradient_boosting,test,17161,0.494726414544607,0.802540249309974,0.785637462545048,0.7349222073305751,0.7204915514592934,0.18030176061561054,0.5401732703092805,0.6905771495877503,0.7783415984315535,5863,6749,1922,2627,lenient
cardio,logistic_l2,test,17152,0.4946944962686567,0.7930506797741812,0.7749778695425679,0.726737406716418,0.7073368716827974,0.18625228527946705,0.5576612953488586,0.6675309369475545,0.7847005884389062,5664,6801,1866,2821,current
cardio,hist_gradient_boosting,test,17152,0.4946944962686567,0.8036930631628624,0.7892036871919764,0.7355410447761194,0.7200691187361146,0.1795084026634615,0.5384185644311219,0.6875662934590454,0.7825083650628822,5834,6782,1885,2651,current
cardio,logistic_l2,test,17091,0.49499736703528174,0.7890521494212543,0.7733111225787017,0.7265227312620678,0.7039898670044332,0.18749324283446234,0.5608733598824613,0.6569739952718676,0.794693546518364,5558,6859,1772,2902,strict
cardio,hist_gradient_boosting,test,17091,0.49499736703528174,0.799129977898679,0.7795798242118351,0.7369375694810134,0.7234932349323493,0.1808334035567913,0.5421664461747799,0.6952718676122931,0.7777777777777778,5882,6713,1918,2578,strict
