systolic_band,rows,target_rate,mean_age
<120,12712,0.2304908747640025,50.651311054051014
120-129,28225,0.35599645704162974,52.88880811946147
130-139,9213,0.5985021165744058,54.78848453361701
>=140,18455,0.837008940666486,54.97992367619704
