dataset,model,rows,mean_predicted_risk,observed_rate,min_predicted_risk,max_predicted_risk,abs_calibration_error
cardio_clean,hist_gradient_boosting,1717,0.1213973691668692,0.1100757134536983,0.043973915918798075,0.17146263667844952,0.011321655713170897
cardio_clean,hist_gradient_boosting,1714,0.21324037043734873,0.19253208868144692,0.17147147351138098,0.2434804206402368,0.02070828175590181
cardio_clean,hist_gradient_boosting,1715,0.26855117758411584,0.2862973760932945,0.24348714188736267,0.29541092118924756,0.017746198509178635
cardio_clean,hist_gradient_boosting,1715,0.3306584685139872,0.3259475218658892,0.2954116038496124,0.36500982003249877,0.004710946648098013
cardio_clean,hist_gradient_boosting,1715,0.40558228603855856,0.39533527696793,0.3651748164110291,0.4534333976349559,0.010247009070628532
cardio_clean,hist_gradient_boosting,1715,0.5032092280366756,0.49737609329446064,0.4536014235890421,0.5633885751913295,0.005833134742214918
cardio_clean,hist_gradient_boosting,1716,0.6278964119668446,0.6223776223776224,0.5634508525018119,0.7431815230854488,0.0055187895892222505
cardio_clean,hist_gradient_boosting,1718,0.7928396328535345,0.7933643771827706,0.7432256789680528,0.8142032224127185,0.0005247443292361043
cardio_clean,hist_gradient_boosting,1711,0.8261815022386304,0.8544710695499708,0.8142147705658915,0.8410384169659139,0.028289567311340358
cardio_clean,hist_gradient_boosting,1716,0.8578031178191898,0.8694638694638694,0.8410580475810181,0.8914757905359879,0.011660751644679612
