error_type,rows,share,mean_predicted_risk,mean_age,mean_systolic_bp,mean_diastolic_bp,mean_bmi,mean_cholesterol,active_rate,smoke_rate
TN,6782,0.39540578358208955,0.2686782371268152,50.442905294866975,115.78162783839575,76.31907991742848,25.719257721912495,1.1108817457976998,0.8420819817163079,0.10026540843409024
FP,1885,0.10989972014925373,0.6872244501638388,56.68309449760983,133.42493368700266,85.02440318302388,29.095819653295663,1.587267904509284,0.7474801061007957,0.06843501326259947
FN,2651,0.15455923507462688,0.3336153403570349,52.93078458118035,118.13202565069786,77.74801961523953,26.355095822640912,1.16597510373444,0.8125235760090532,0.08487363259147492
TP,5834,0.34013526119402987,0.7684783236428713,55.82598222274157,141.21717517997942,87.92543709290366,29.36462157186533,1.6705519369214947,0.7744257799108674,0.09067535138841275
