cleaning_profile,model,cv_folds,cv_auroc_mean,cv_auroc_std,cv_auprc_mean,cv_auprc_std,cv_accuracy_mean,cv_accuracy_std,cv_brier_mean,cv_log_loss_mean
raw,logistic_l2,5,0.7842593033713445,0.0036034319771985675,0.7644901251309705,0.004641173677314393,0.7211285714285715,0.00311330259711844,0.1919899560554681,0.5779665438359782
raw,hist_gradient_boosting,5,0.8030444489192202,0.0030761391541664507,0.7887195873026948,0.004903017759105964,0.7366428571428572,0.001821078397711712,0.1797044018731209,0.5391889125989329
lenient,logistic_l2,5,0.7911432978004302,0.0025617888738871165,0.7704970519596016,0.004127131089738479,0.7270700305412412,0.0027495406913173896,0.18702694714656576,0.5606512127092631
lenient,hist_gradient_boosting,5,0.8014216024724679,0.0026987441981565596,0.7838432611924835,0.003242752434639837,0.7352280505628345,0.0035147511770430447,0.1804182421555096,0.5408320825622923
current,logistic_l2,5,0.7911784337551957,0.0025849622625818487,0.7706288937599615,0.004768093075128608,0.7269441002842358,0.0017428158504639712,0.18701336663686208,0.5605975218719373
current,hist_gradient_boosting,5,0.8013478671175148,0.002491219265968843,0.7843088960233809,0.0032848416320114615,0.7345091465636615,0.0010950595420737709,0.18046924312955193,0.54091299051948
strict,logistic_l2,5,0.7910130946908913,0.0030212218005107603,0.7705925247696487,0.002905321607974402,0.7273046759603661,0.0031449745574293688,0.1870647225578453,0.5606584028985221
strict,hist_gradient_boosting,5,0.8012462471513748,0.003479141814750599,0.7841535994220032,0.005181028447265834,0.7343846151245529,0.003593249572028432,0.18053303280813768,0.541092197753138
