dataset,split,rows,positive_rate,auroc,accuracy,brier,log_loss,sensitivity,specificity,tp,tn,fp,fn
cardio_base_clean_logreg_numpy,train,48023,0.49470045603148494,0.7901734938640338,0.725902171875976,0.18780269116398124,0.5612496158039574,0.665866902386665,0.7846781504986401,15819,19041,5225,7938
cardio_base_clean_logreg_numpy,valid,10289,0.4947030809602488,0.7871401142202425,0.722324812906988,0.18907190343809394,0.5637869445698944,0.6681728880157171,0.7753414118099634,3401,4031,1168,1689
cardio_base_clean_logreg_numpy,test,10293,0.4947051394151365,0.7974483500891801,0.735937044593413,0.1850635353175316,0.5572121388786682,0.6720345640219952,0.7985002884060758,3422,4153,1048,1670
heart_processed_logreg_numpy,train,642,0.5529595015576324,0.9398635716739461,0.8769470404984424,0.09392901795966586,0.30946282236804284,0.9070422535211268,0.8397212543554007,322,241,46,33
heart_processed_logreg_numpy,valid,137,0.5547445255474452,0.899913718723037,0.8467153284671532,0.11572451334612459,0.38483140574287367,0.9210526315789473,0.7540983606557377,70,46,15,6
heart_processed_logreg_numpy,test,139,0.5539568345323741,0.9411395056556346,0.8705035971223022,0.09039980653500126,0.30662503060300006,0.8701298701298701,0.8709677419354839,67,54,8,10
