feature,standardized_coefficient,train_mean,train_std,abs_standardized_coefficient
ST_Slope_Flat,0.6369322870707083,0.5031152647975078,0.4999902950310561,0.6369322870707083
Sex_M,0.6157874967915011,0.7990654205607477,0.4006992316249492,0.6157874967915011
ChestPainType_NAP,-0.5824511228810466,0.19781931464174454,0.3983551598717105,0.5824511228810466
ST_Slope_Up,-0.5573765262114678,0.42834890965732086,0.4948394903933027,0.5573765262114678
ChestPainType_ATA,-0.5535575580438272,0.19158878504672897,0.3935511688345589,0.5535575580438272
Cholesterol_zero,0.5122066308140534,0.16978193146417445,0.3754411101790375,0.5122066308140534
Oldpeak,0.42074780432125786,0.9035825545171337,1.0475321541133094,0.42074780432125786
ExerciseAngina_Y,0.3463213629724242,0.4143302180685358,0.49260601748640137,0.3463213629724242
FastingBS,0.3404225937243953,0.2398753894080997,0.42700724462755174,0.3404225937243953
ChestPainType_TA,-0.3121093804316837,0.045171339563862926,0.20767977668966636,0.3121093804316837
Age,0.14617500704159883,53.718068535825545,9.50028450180523,0.14617500704159883
RestingECG_Normal,-0.13839873908550251,0.5996884735202492,0.4899614354693683,0.13839873908550251
Cholesterol,-0.10961304430965153,203.79283489096574,106.67837830253774,0.10961304430965153
MaxHR,-0.08582313280417489,136.90965732087227,25.778252810287725,0.08582313280417489
RestingBP,-0.040019283661806,132.297507788162,18.970553341966784,0.040019283661806
RestingECG_ST,-0.023639243504833266,0.19781931464174454,0.3983551598717104,0.023639243504833266
